Adress,Radius,Budget,Tabu List's Max Size
"lane removed at (542080261, 542080382, 0)",51,91,30.91299999999999,23.274871826171875
"lane added at (1609339393, 10580486940, 0)",51,91,29.382,24.3176212310791
"lane removed at (6426946701, 542395697, 0)",51,91,31.608999999999995,24.895582914352417
"lane added at (8841353743, 541838109, 0)",51,91,30.227000000000004,25.540330410003662
"lane added at (542655556, 2892189217, 0)",51,91,31.230999999999998,26.143696308135986
"lane reversed at (9042120352, 10608526941, 0)",51,91,29.376000000000005,26.765511751174927
"lane reversed at (2892189217, 542655556, 0)",51,91,31.21799999999999,27.4303195476532
"lane removed at (542396533, 542396848, 0)",51,91,31.500000000000004,28.0768826007843
"lane added at (542396848, 542396533, 0)",51,91,30.351000000000003,28.69948172569275
"lane added at (1609339393, 10580486940, 1)",51,91,34.217999999999996,29.28251051902771
"lane removed at (7571747348, 1424636458, 0)",51,91,31.848,29.868384838104248
"lane added at (542080382, 542080261, 0)",51,91,31.873,30.513577938079834
"lane removed at (4843821515, 7571747348, 0)",51,91,32.905,31.151002168655396
"lane added at (1992587306, 542607588, 0)",51,91,28.764,31.783665895462036
"lane added at (4843821516, 4843821515, 0)",51,91,35.757999999999996,32.40651035308838
"lane reversed at (542607597, 542607588, 0)",51,91,34.46599999999999,33.026530265808105
"lane added at (542080261, 541838077, 0)",51,91,31.976000000000003,33.672714948654175
"lane added at (542607588, 1992587306, 0)",51,91,35.153999999999996,34.278754234313965
"lane reversed at (7571747348, 7571747349, 0)",51,91,30.973999999999997,34.886841773986816
"lane added at (542396533, 6426946701, 0)",51,91,36.00799999999998,35.50479006767273
"lane removed at (541838356, 541838351, 0)",51,91,32.693000000000005,36.12042236328125
"lane added at (541838315, 541838333, 0)",51,91,34.66,36.77388620376587
"lane added at (542396390, 542396219, 0)",51,91,33.677,37.41095232963562
"lane removed at (10608526941, 542538468, 0)",51,91,35.35999999999999,38.04456806182861
"lane reversed at (542395697, 542396533, 0)",51,91,29.834999999999994,38.6872353553772
"lane reversed at (1424636458, 7571747348, 0)",51,91,29.334999999999987,39.30539870262146
"lane added at (541838315, 541838306, 0)",51,91,32.55,39.936418294906616
"lane added at (541838255, 541838389, 0)",51,91,32.04,40.54664468765259
"lane added at (541838707, 1609339393, 0)",51,91,31.46,41.1280779838562
"lane added at (541838389, 542655556, 0)",51,91,32.48800000000001,41.76269340515137
"lane added at (2608953058, 876375198, 0)",51,91,35.49399999999999,42.384413957595825
"lane added at (3603873259, 10608526941, 0)",51,91,30.820000000000007,42.985639333724976
"lane reversed at (1609339393, 10580486940, 1)",51,91,29.720999999999993,43.61543321609497
"lane added at (541838338, 542607339, 0)",51,91,32.01,44.22862434387207
"lane added at (541838109, 541837978, 0)",51,91,33.870999999999995,44.85993766784668
"lane added at (3603873259, 542538468, 0)",51,91,31.043999999999993,45.47035789489746
"lane added at (542396219, 542396848, 0)",51,91,34.962,46.10765361785889
"lane added at (7571747349, 7571747348, 0)",51,91,32.28099999999999,46.722938776016235
"lane reversed at (542396533, 542396848, 0)",51,91,33.073999999999984,47.33065128326416
"lane added at (4843821512, 4843821513, 0)",51,91,33.712999999999994,47.97603368759155
"lane removed at (2608953058, 542607588, 0)",51,91,32.128000000000014,48.582024574279785
"lane removed at (1992587306, 542607588, 0)",51,91,34.42899999999998,49.20008683204651
"lane removed at (541838356, 8841353743, 0)",51,91,29.925,49.77946400642395
"lane added at (542080261, 541838077, 0)",51,91,30.935000000000006,50.42528963088989
"lane added at (4843821513, 876375228, 0)",51,91,32.753,51.0178644657135
"lane added at (4175137733, 10580484194, 0)",51,91,30.656000000000013,51.620993852615356
Status,Ending Time
None,51.63435125350952
Adress,Radius,Budget,Tabu List's Max Size
"Rua Roberto Sampaio Gonzaga, Florianópolis, Brazil",500,80000,20
Operation,Number of Nodes,Number of Edges,Value,Time
"lane added at (542607339, 1992587306, 0)",51,91,67.80699999999999,0.9821138381958008
"lane removed at (4843821515, 7571747348, 0)",51,91,66.16900000000001,1.6162359714508057
"lane reversed at (541838351, 541838356, 0)",51,91,66.929,2.195258617401123
"lane removed at (542607588, 542607597, 0)",51,91,66.21700000000001,3.272219181060791
"lane added at (542396533, 6426946701, 0)",51,91,65.093,3.8948378562927246
"lane added at (542080261, 541838077, 0)",51,91,63.85800000000002,4.56308650970459
"lane reversed at (876375228, 542607597, 0)",51,91,59.626,5.169580459594727
"lane reversed at (541838306, 541838315, 0)",51,91,52.651,5.780750036239624
"lane removed at (1424636458, 7571747348, 0)",51,91,48.135,6.392660617828369
"lane added at (3603873259, 542538468, 0)",51,91,50.669000000000004,7.023539304733276
"lane reversed at (541838077, 8841353743, 0)",51,91,47.929000000000016,7.600254058837891
"lane added at (541838338, 541838351, 0)",51,91,38.772999999999996,8.204656600952148
"lane reversed at (4175137733, 10580484194, 0)",51,91,41.10000000000001,8.800182580947876
"lane removed at (865711234, 541838333, 0)",51,91,34.739999999999974,9.377294778823853
"lane reversed at (541838634, 541838707, 0)",51,91,35.025999999999996,9.988842725753784
"lane removed at (542607588, 1992587306, 0)",51,91,33.79299999999999,10.564634323120117
"lane removed at (10580484194, 9042120352, 0)",51,91,33.433,11.14472770690918
"lane reversed at (542080261, 542080382, 0)",51,91,33.398,11.718227863311768
"lane added at (542396848, 542396219, 0)",51,91,33.01899999999998,12.332532167434692
"lane reversed at (542396848, 542080382, 0)",51,91,33.184,12.933014631271362
"lane added at (4843821515, 4843821514, 0)",51,91,33.665000000000006,13.563335657119751
"lane added at (4843821512, 4843821513, 0)",51,91,32.652999999999984,14.166060209274292
"lane reversed at (541838333, 541838338, 0)",51,91,30.79799999999999,14.756314277648926
"lane added at (542655556, 2892189217, 0)",51,91,31.785,15.348679304122925
"lane added at (542396219, 542396390, 0)",51,91,33.20600000000001,15.92207670211792
"lane reversed at (5902767415, 865711234, 0)",51,91,34.37,16.52809977531433
"lane removed at (5902767415, 1992587306, 0)",51,91,33.092000000000006,17.134348392486572
"lane removed at (541838315, 541838333, 0)",51,91,32.43799999999999,17.71209716796875
"lane added at (541838315, 541838306, 0)",51,91,32.511999999999986,18.295375108718872
"lane removed at (4843821516, 4843821515, 0)",51,91,33.571000000000005,18.88192081451416
"lane removed at (7571747348, 1424636458, 0)",51,91,33.78099999999999,19.485220193862915
"lane removed at (1424636458, 7571747348, 0)",51,91,33.20400000000001,20.081578016281128
"lane reversed at (4843821515, 7571747348, 0)",51,91,33.385,20.668006420135498
"lane removed at (876375228, 4843821513, 0)",51,91,32.911,21.251657009124756
"lane removed at (542396848, 542080382, 0)",51,91,32.89699999999999,21.84764528274536
"lane added at (10580484194, 4175137733, 0)",51,91,33.699,22.4304940700531
"lane reversed at (541838356, 8841353743, 0)",51,91,33.440000000000005,23.02111577987671
"lane reversed at (876375228, 876375198, 0)",51,91,34.529,23.602555751800537
"lane removed at (10608526941, 3603873259, 0)",51,91,32.777,24.174323797225952
"lane removed at (541838389, 541838306, 0)",51,91,34.85500000000001,24.76400113105774
"lane removed at (7571747349, 7571747348, 0)",51,91,35.44499999999999,25.35831880569458
"lane added at (542396219, 542396848, 0)",51,91,33.69,25.94677972793579
"lane added at (3603873259, 542396390, 0)",51,91,33.639,26.55154538154602
"lane removed at (542607597, 542607588, 0)",51,91,33.231,27.13940191268921
"lane added at (541838356, 541838351, 0)",51,91,34.64499999999999,27.72374987602234
"lane reversed at (10608526941, 3603873259, 0)",51,91,31.468000000000004,28.298537254333496
"lane reversed at (6426946701, 6429267998, 0)",51,91,32.435,28.877012252807617
